"CD_MUNICIPIO";"NOME_MUNICIPIO"
"2923902";"PAU BRASIL                                                  "
"2924009";"PAULO AFONSO                                                "
"2924058";"PÉ DE SERRA                                                 "
"2924108";"PEDRÃO                                                      "
"2924207";"PEDRO ALEXANDRE                                             "
"2924306";"PIATÃ                                                       "
"2924405";"PILÃO ARCADO                                                "
"2924504";"PINDAÍ                                                      "
"2924603";"PINDOBAÇU                                                   "
"2924652";"PINTADAS                                                    "
"2924678";"PIRAÍ DO NORTE                                              "
"2924702";"PIRIPÁ                                                      "
"2924801";"PIRITIBA                                                    "
"2924900";"PLANALTINO                                                  "
"2925006";"PLANALTO                                                    "
"2925105";"POÇÕES                                                      "
"2925204";"POJUCA                                                      "
"2925253";"PONTO NOVO                                                  "
"2925303";"PORTO SEGURO                                                "
"2925402";"POTIRAGUÁ                                                   "
"2925501";"PRADO                                                       "
"2925600";"PRESIDENTE DUTRA                                            "
"2925709";"PRESIDENTE JÂNIO QUADROS                                    "
"2925758";"PRESIDENTE TANCREDO NEVES                                   "
"2925808";"QUEIMADAS                                                   "
"2925907";"QUIJINGUE                                                   "
"2925931";"QUIXABEIRA                                                  "
"2925956";"RAFAEL JAMBEIRO                                             "
"2926004";"REMANSO                                                     "
"2926103";"RETIROLÂNDIA                                                "
"2926202";"RIACHÃO DAS NEVES                                           "
"2926301";"RIACHÃO DO JACUÍPE                                          "
"2926400";"RIACHO DE SANTANA                                           "
"2926509";"RIBEIRA DO AMPARO                                           "
"2926608";"RIBEIRA DO POMBAL                                           "
"2926657";"RIBEIRÃO DO LARGO                                           "
"2926707";"RIO DE CONTAS                                               "
"2926806";"RIO DO ANTÔNIO                                              "
"2926905";"RIO DO PIRES                                                "
"2927002";"RIO REAL                                                    "
"2927101";"RODELAS                                                     "
"2927200";"RUY BARBOSA                                                 "
"2927309";"SALINAS DA MARGARIDA                                        "
"2927408";"SALVADOR                                                    "
"2927507";"SANTA BÁRBARA                                               "
"2927606";"SANTA BRÍGIDA                                               "
"2927705";"SANTA CRUZ CABRÁLIA                                         "
"2927804";"SANTA CRUZ DA VITÓRIA                                       "
"2927903";"SANTA INÊS                                                  "
"2928059";"SANTA LUZIA                                                 "
"2928109";"SANTA MARIA DA VITÓRIA                                      "
"2928406";"SANTA RITA DE CÁSSIA                                        "
"2928505";"SANTA TEREZINHA                                             "
"2928000";"SANTALUZ                                                    "
"2928208";"SANTANA                                                     "
"2928307";"SANTANÓPOLIS                                                "
"2928604";"SANTO AMARO                                                 "
"2928703";"SANTO ANTÔNIO DE JESUS                                      "
"2928802";"SANTO ESTÊVÃO                                               "
"2928901";"SÃO DESIDÉRIO                                               "
"2928950";"SÃO DOMINGOS                                                "
"2929107";"SÃO FELIPE                                                  "
"2929008";"SÃO FÉLIX                                                   "
"2929057";"SÃO FÉLIX DO CORIBE                                         "
"2929206";"SÃO FRANCISCO DO CONDE                                      "
"2929255";"SÃO GABRIEL                                                 "
"2929305";"SÃO GONÇALO DOS CAMPOS                                      "
"2929354";"SÃO JOSÉ DA VITÓRIA                                         "
"2929370";"SÃO JOSÉ DO JACUÍPE                                         "
"2929404";"SÃO MIGUEL DAS MATAS                                        "
"2929503";"SÃO SEBASTIÃO DO PASSÉ                                      "
"2929602";"SAPEAÇU                                                     "
"2929701";"SÁTIRO DIAS                                                 "
"2929750";"SAUBARA                                                     "
"2929800";"SAÚDE                                                       "
"2929909";"SEABRA                                                      "
"2930006";"SEBASTIÃO LARANJEIRAS                                       "
"2930105";"SENHOR DO BONFIM                                            "
"2930204";"SENTO SÉ                                                    "
"2930154";"SERRA DO RAMALHO                                            "
"2930303";"SERRA DOURADA                                               "
"2930402";"SERRA PRETA                                                 "
"2930501";"SERRINHA                                                    "
"2930600";"SERROLÂNDIA                                                 "
"2930709";"SIMÕES FILHO                                                "
"2930758";"SÍTIO DO MATO                                               "
"2930766";"SÍTIO DO QUINTO                                             "
"2930774";"SOBRADINHO                                                  "
"2930808";"SOUTO SOARES                                                "
"2930907";"TABOCAS DO BREJO VELHO                                      "
"2931004";"TANHAÇU                                                     "
"2931053";"TANQUE NOVO                                                 "
"2931103";"TANQUINHO                                                   "
"2931202";"TAPEROÁ                                                     "
"2931301";"TAPIRAMUTÁ                                                  "
"2931350";"TEIXEIRA DE FREITAS                                         "
"2931400";"TEODORO SAMPAIO                                             "
"2931509";"TEOFILÂNDIA                                                 "
"2931608";"TEOLÂNDIA                                                   "
"2931707";"TERRA NOVA                                                  "
"2931806";"TREMEDAL                                                    "
"2931905";"TUCANO                                                      "
"2932002";"UAUÁ                                                        "
"2932101";"UBAÍRA                                                      "
"2932200";"UBAITABA                                                    "
"2932309";"UBATÃ                                                       "
"2932408";"UIBAÍ                                                       "
"2932457";"UMBURANAS                                                   "
"2932507";"UNA                                                         "
"2932606";"URANDI                                                      "
"2932705";"URUÇUCA                                                     "
"2932804";"UTINGA                                                      "
"2932903";"VALENÇA                                                     "
"2933000";"VALENTE                                                     "
"2933059";"VÁRZEA DA ROÇA                                              "
"2933109";"VÁRZEA DO POÇO                                              "
"2933158";"VÁRZEA NOVA                                                 "
"2933174";"VARZEDO                                                     "
"2933208";"VERA CRUZ                                                   "
"2933257";"VEREDA                                                      "
"2933307";"VITÓRIA DA CONQUISTA                                        "
"2933406";"WAGNER                                                      "
"2933455";"WANDERLEY                                                   "
"2933505";"WENCESLAU GUIMARÃES                                         "
"2933604";"XIQUE-XIQUE                                                 "
"CD_FONTE";"DS_FONTE"
"-1";""
"96";"Ações Judiciais FUNDEB - Precatórios"
"95";"Ações Judiciais FUNDEF - Precatórios"
"92";"Alienação de Bens"
"44";"Cessão Onerosa - volumes excedentes do Pré-Sal"
"4";"Contribuição ao Programa Ensino Fundamental - Salário Educação"
"16";"Contribuição de Intervenção do Domínio Econômico - CIDE"
"3";"Contribuição p/ o Regime Próprio de Previdência Social - RPPS"
"10";"FCBA -  Fundo de Cultura do Estado da Bahia"
"28";"FEAS - Fundo Estadual de Assistência Social"
"91";"Operações de Crédito Externas"
"90";"Operações de Crédito Internas"
"93";"Outras Receitas Não Primárias"
"86";"Receitas de Impostos - Municipal"
"1";"Receitas de Impostos e Transferências de Impostos - Educação - 25%"
"2";"Receitas de Impostos e Transferências de Impostos - Saúde - 15%"
"50";"Receitas Próprias de Entidades de Administração Indireta"
"0";"Recursos Ordinários"
"20";"Recursos Próprios de Consórcios"
"94";"Remuneração de Depósitos Bancários"
"42";"Royalties/Fundo Especial do Petróleo/Compensação Financeira pela Exploração de Recursos Minerais"
"55";"Transferência Especial da União"
"21";"Transferências de Consórcios - Contrato de rateio"
"22";"Transferências de Convênios - Educação"
"24";"Transferências de Convênios - Outros (não relacionados à educação/saúde)"
"23";"Transferências de Convênios - Saúde"
"84";"Transferências de Impostos - Estadual - ICMS"
"83";"Transferências de Impostos - Estadual - IPI"
"85";"Transferências de Impostos - Estadual - IPVA"
"80";"Transferências de Impostos - Federal - FPM"
"82";"Transferências de Impostos - Federal - ICMS Exportação"
"81";"Transferências de Impostos - Federal - ITR"
"29";"Transferências de Recursos do Fundo Nacional de Assistência Social - FNAS"
"15";"Transferências de Recursos do Fundo Nacional de Desenvolvimento da Educação - FNDE"
"14";"Transferências de Recursos do Sistema Único de Saúde - SUS"
"30";"Transferências do Fundo de Investimento Econômico Social - FIES"
"19";"Transferências FUNDEB (aplicação em outras despesas de Educação Básica - 40%)"
"18";"Transferências FUNDEB (Aplicação na remuneração dos profissionais na Educação Básica - 60%)"
"CD_ORGAO";"DS_ORGAO"
"0";" - "
"1";"CÂMARA MUNCIPAL"
"5";"FUNDO MUNICIPAL DE SAÚDE"
"2";"GABINETE DO PREFEITO"
"11";"IMUPRE-INSTITUTO MUNICIPAL DE PREVIDÊNCIA SOCIAL"
"99";"RESERVA DE CONTIGÊNCIA"
"8";"SEC. DA INDÚSTRIA, COMÉRCIO E TURISMO"
"9";"SEC. DE AGRICULTURA E MEIO AMBIENTE"
"6";"SEC. MUNICIPAL DO DESENVOLVIMENTO SOCIAL"
"3";"SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS"
"4";"SECRETARIA DE EDUCAÇÃO, CULTURA, ESPORTES E LAZER"
"7";"SECRETARIA DE INFRA ESTRUTURA"
"13";"SECRETARIA MUNICIPAL DA FAZENDA"
"12";"SECRETARIA MUNICIPAL DE PLANEJAMENTO E GESTÃO"
"10";"SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO"
"CD_UN_ORCAMENT";"DS_UN_ORCAMENT"
"0";""
"101";"CÂMARA MUNICIPAL"
"201";"GABINETE DO PREFEITO"
"301";"SECRETARIA DE ADMINISTRAÇÃO"
"401";"SECRETARIA DE EDUCAÇÃO, CULTURA, ESPORTES E LAZER"
"402";"FUNDO MUNICIPAL DE EDUCAÇÃO"
"403";"DEPARTAMENTO DE CULTURA, ESPORTE E LAZER"
"404";"FUNDO MUNICIPAL DE CULTURA"
"502";"FUNDO MUNICIPAL DE SAÚDE"
"601";"SEC. DE DESENVOLVIMENTO SOCIAL"
"602";"FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL"
"603";"FUNDO DA CRIANÇA E DO ADOLESCENTE"
"604";"FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL"
"701";"SEC. DE OBRAS E SERVIÇOS URBANOS"
"801";"SEC. DA INDÚSTRIA, COMÉRCIO E TURISMO"
"901";"SEC. DE AGRICULTURA E MEIO AMBIENTE"
"999";"RESERVA DE CONTIGÊNCIA"
"1001";"SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO"
"1101";"INSTITUTO MUNICIPAL DE PREVIDÊNCIA SOCIAL"
"1201";"SECRETARIA MUNICIPAL DE PLANEJAMENTO E GESTÃO"
"1301";"SECRETARIA MUNICIPAL DA FAZENDA"
"1502";"FUNDO MUNICIPAL DO MEIO AMBIENTE"
"CD_FUNCAO";"DS_FUNCAO"
"0";""
"1";"Legislativa"
"2";"Judiciária"
"3";"Essencial à Justiça"
"4";"Administração"
"5";"Defesa Nacional"
"6";"Segurança Pública"
"7";"Relações Exteriores"
"8";"Assistência Social"
"9";"Previdência Social"
"10";"Saúde"
"11";"Trabalho"
"12";"Educação"
"13";"Cultura"
"14";"Direitos da Cidadania"
"15";"Urbanismo"
"16";"Habitação"
"17";"Saneamento"
"18";"Gestão Ambiental"
"19";"Ciência e Tecnologia"
"20";"Agricultura"
"21";"Organização Agrária"
"22";"Indústria"
"23";"Comércio e Serviços"
"24";"Comunicações"
"25";"Energia"
"26";"Transporte"
"27";"Desporto e Lazer"
"28";"Encargos especiais"
"77";"Reserva Orçamentária do RPPS"
"88";"Recursos Vetados"
"99";"Reserva de Contingência"
"CD_ELEM_DESP";"DS_ELEM_DESP"
"0";""
"30000000";"Despesas Correntes"
"31000000";"Pessoal e Encargos Sociais"
"31300000";"Transferências a Estados e ao Distrito Federal"
"31301100";"Pessoal Civil"
"31301101";"Vencimento e vantagens fixas Pessoal Civil (Vencimento Básico)"
"31301102";"Convocação Extraordinária (Inciso II, §6º, art. 57 da CF)"
"31301103";"Vencimento e vantagens fixas Pessoal Civil (Horas Extras)"
"31301104";"Pessoal Civil (Gratificações)"
"31301300";"Obrigações Patronais"
"31301309";"Outros Encargos Patronais"
"31301600";"Pessoal Civil"
"31304100";"Contribuições"
"31309300";"Indenizações e Restituições"
"31309600";"Ressarcimento de Despesas de Pessoal Requisitado"
"31400000";"Transferências a Municípios"
"31401100";"Pessoal Civil"
"31401300";"Obrigações Patronais"
"31401301";"Contribuição para o Regime Geral de Previdência (INSS)"
"31401303";"Contribuição para Assistência Social do Servidor"
"31401304";"Contribuição para o FGTS"
"31401305";"Juros e Multa por Atraso no Pagamento"
"31401309";"Outros Encargos Patronais"
"31401600";"Pessoal Civil"
"31710000";"Transferências a Consórcios Públicos mediante contrato de rateio"
"31711100";"Pessoal Civil"
"31711101";"Vencimento e vantagens fixas Pessoal Civil (Vencimento Básico)"
"31711102";"Convocação Extraordinária (Inciso II, §6º, art. 57 da CF)"
"31711103";"Vencimento e vantagens fixas Pessoal Civil (Horas Extras)"
"31711104";"Pessoal Civil (Gratificações)"
"31711300";"Obrigações Patronais"
"31717000";"Rateio pela Participação em Consórcio Público"
"31719200";"Despesas de Exercícios Anteriores"
"31719600";"Ressarcimento de Despesas de Pessoal Requisitado"
"31719900";"A Classificar"
"31730000";"Transferências a Consórcios Públicos mediante contrato de rateio – LC 141 – Artigo 24"
"31737000";"Rateio pela Participação em Consórcio Público"
"31740000";"Transferências a Consórcios Públicos mediante contrato de rateio – LC 141 – Artigo 25"
"31747000";"Rateio pela Participação em Consórcio Público"
"31800000";"Transferências ao Exterior"
"31800400";"Contratação por Tempo Determinado"
"31803400";"Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização – LC 101 – Artigo 18, § 1º"
"31803401";"Outros Despesas de Pessoal – Terceirização – Pessoa Jurídica"
"31803402";"Outros Despesas de Pessoal – Terceirização – Pessoa Física"
"31900000";"Aplicações Diretas"
"31900100";"Aposentadorias, Reserva Remunerada e Reformas"
"31900101";"Pagos com Recursos Vinculados (RPPS)"
"31900102";"Pagos com Recursos do Tesouro Municipal"
"31900300";"Pensões do RPPS e do militar"
"31900301";"Pagas com Recursos Vinculado (RPPS)"
"31900302";"Pagas com Recursos do Tesouro Municipal"
"31900400";"Contratação por Tempo Determinado"
"31900500";"Outros Benefícios Previdenciários do Servidor do Militar"
"31900700";"Contribuição a Entidades Fechadas de Previdência"
"31900800";"Outros Benefícios Assistenciais do Servidor e do Militar"
"31901000";"Outros Benefícios de Natureza Social"
"31901100";"Pessoal Civil"
"31901101";"Vencimento e vantagens fixas Pessoal Civil (Vencimento Básico)"
"31901102";"Convocação Extraordinária (Inciso II, §6º, art. 57 da CF)"
"31901103";"Vencimento e vantagens fixas Pessoal Civil (Horas Extras)"
"31901104";"Pessoal Civil (Gratificações)"
"31901200";"Pessoal Militar"
"31901300";"Obrigações Patronais"
"31901301";"Contribuição para o Regime Geral de Previdência (INSS)"
"31901302";"Contribuição para o Regime Próprio de Previdência do Servidor (RPPS)"
"31901303";"Contribuição para Assistência Social do Servidor"
"31901304";"Contribuição para o FGTS"
"31901305";"Juros e Multa por Atraso no Pagamento"
"31901309";"Outros Encargos Patronais"
"31901600";"Pessoal Civil"
"31901700";"Pessoal Militar"
"31903400";"Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização – LC 101 – Artigo 18, § 1º"
"31903401";"Outros Despesas de Pessoal – Terceirização – Pessoa Jurídica"
"31903402";"Outros Despesas de Pessoal – Terceirização – Pessoa Física"
"31903403";"Pessoa Física"
"31903404";"Obra"
"31903406";"Pessoa Jurídica"
"31906700";"Depósitos Compulsórios"
"31909100";"Sentenças Judiciais"
"31909200";"Despesas de Exercícios Anteriores"
"31909300";"Indenizações e Restituições"
"31909400";"Indenizações e Restituições Trabalhistas"
"31909500";"Indenização pela Execução de Trabalhos de Campo"
"31909600";"Ressarcimento de Despesas de Pessoal Requisitado"
"31910000";"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos"
"31910100";"Aposentadorias, Reserva Remunerada e Reformas"
"31910101";"Pagos com Recursos Vinculados (RPPS)"
"31910102";"Pagos com Recursos do Tesouro Municipal"
"31910300";"Pensões do RPPS e do militar"
"31910301";"Pagas com Recursos Vinculado (RPPS)"
"31910302";"Pagas com Recursos do Tesouro Municipal"
"31910400";"Contratação por Tempo Determinado"
"31910500";"Outros Benefícios Previdenciários do Servidor do Militar"
"31910700";"Contribuição a Entidades Fechadas de Previdência"
"31911100";"Pessoal Civil"
"31911101";"Vencimento e vantagens fixas Pessoal Civil (Vencimento Básico)"
"31911102";"Convocação Extraordinária (Inciso II, §6º, art. 57 da CF)"
"31911103";"Vencimento e vantagens fixas Pessoal Civil (Horas Extras)"
"31911104";"Pessoal Civil (Gratificações)"
